Date,URL
SUNDAY 13TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-1/cowboys-v-bulldogs/
THURSDAY 17TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-2/storm-v-rabbitohs/
FRIDAY 18TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-2/dragons-v-panthers/
FRIDAY 18TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-2/roosters-v-sea-eagles/
SATURDAY 19TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-2/titans-v-warriors/
SATURDAY 19TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-2/sharks-v-eels/
SATURDAY 19TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-2/cowboys-v-raiders/
SUNDAY 20TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-2/knights-v-wests-tigers/
SUNDAY 20TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-2/bulldogs-v-broncos/
THURSDAY 24TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-3/dragons-v-sharks/
FRIDAY 25TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-3/wests-tigers-v-warriors/
FRIDAY 25TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-3/rabbitohs-v-roosters/
SATURDAY 26TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-3/panthers-v-knights/
SATURDAY 26TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-3/storm-v-eels/
SATURDAY 26TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-3/raiders-v-titans/
SUNDAY 27TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-3/broncos-v-cowboys/
SUNDAY 27TH MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-3/sea-eagles-v-bulldogs/
THURSDAY 31ST MARCH,https://www.nrl.com/draw/nrl-premiership/2022/round-4/titans-v-wests-tigers/
